"cmRate","population","medianIncome","pctPoverty","avgHouse","medianAge","medianAgeM","medianAgeF","pctHS","pctBach","pctEmployed","pctUnemployed","pctPrivateHC","pctEmployerHC","pctPublicHC","pctWhite","pctBlack","pctAsian","pctOther","rmRace","pctMarried","pctMarriedHouse","birthRate","region","state","county"
178.9,16771,32975,22,2.44,47.1,46.4,47.8,42.7,8.3,39.2,11.2,50.1,26.7,48.8,95.24761793,0.888130808,0.170568168,0.876367486,"white",53.3,50.67597034,4.153846154,"Southeast","Arkansas","Van Buren County"
148.4,10170292,55686,18.7,3.02,35.6,34.4,36.8,20.7,19.8,58,10,55,39.7,32.9,53.25871046,8.276139555,14.12938014,19.59152207,"white",42.4,44.58164997,4.70528099,"West","California","Los Angeles County"
162.9,268455,43818,24.8,3.32,30.4,29.6,31,24.8,8.7,49.8,16.2,48,33.2,44.4,61.17475415,3.418155636,7.542679576,22.65191277,"white",45.8,50.89713227,6.393691516,"West","California","Merced County"
167.2,18409,47964,14,2.26,51.3,50.3,52,23.9,13.3,44.7,15.2,62.3,33.5,44.5,90.1191606,0.65380154,0.938521565,1.471053464,"white",53,48.99598394,4.06430088,"West","California","Plumas County"
168,2128133,51951,20.4,3.33,32.5,31.4,33.6,26.2,12.3,52.3,12.6,54.4,41.2,35.7,62.1540609,8.549248151,6.678254261,17.03872838,"white",45.4,51.29451023,6.007621442,"West","California","San Bernardino County"
149.4,281401,61775,14.5,2.51,39.3,37.1,41.5,19.7,20.8,54,6.6,71.9,45.6,30.3,85.00670845,2.054846537,3.662342641,5.069127757,"white",48.2,50.36688036,4.076692166,"West","California","San Luis Obispo County"
164.9,538388,50917,18.1,3.08,33.5,32.3,34.8,28.3,11,52.3,15.2,54.7,39.7,39.8,75.29481367,2.718220897,5.415583455,10.6589908,"white",47.9,51.06740112,6.025884863,"West","California","Stanislaus County"
124.1,319372,71546,13.3,2.45,35.8,34.4,37.1,12.7,31.8,65.5,6.1,78.3,53.6,21.8,88.40216494,0.904100222,4.313748258,2.842287248,"white",47.7,47.57827549,4.171506363,"West","Colorado","Boulder County"
140.8,18658,48840,12.4,2.21,49.2,45.8,51.4,26.7,21.3,51.9,5.9,63,31.5,40.7,93.85548091,2.004478672,0.278551532,0.824731007,"white",55.5,52.91387313,4.893475366,"West","Colorado","Chaffee County"
110.7,5562,32570,40.5,3.78,35.5,38.6,30.1,39.1,7.8,32.7,27,44.7,27.2,52.9,84.03891191,5.260313457,0.378310214,5.854800937,"white",30.9,47.21984602,10.31111111,"West","Colorado","Crowley County"
160.8,4445,48368,14.9,2.15,56.4,58.5,55,18.7,21.9,38.2,14,51.9,19.3,52,93.98094353,3.137346038,0,0.162677202,"white",64.8,58.16633267,5.851979346,"West","Colorado","Custer County"
163.7,682545,54872,15.9,2.3,34.1,33.8,34.3,17.7,27.3,66.3,6.3,62.1,44.6,31.1,76.08080609,9.706397559,3.555738901,5.976719916,"white",39.2,33.83092514,5.543167508,"West","Colorado","Denver County"
129.8,5828,64752,7.9,2.14,44.7,44.6,44.8,24.4,20.1,68,4.9,73,54.3,22.6,92.14986619,0.517395183,0.142729706,2.925958965,"white",54.5,47.82608696,3.787268332,"West","Colorado","Gilpin County"
200.9,1423,42310,13.5,2.45,41.2,41.4,40.9,34.3,13.3,62.9,2,64.5,38.4,35.1,93.77990431,0.820232399,0.0683527,0,"white",55.5,54.88850772,3.095975232,"West","Colorado","Kiowa County"
153.9,148513,50106,15.4,2.43,38.4,36.8,40.1,29.1,17.7,57.8,8.7,63.2,40.7,36.5,92.79800317,0.746783555,0.61014381,2.090182231,"white",51.7,49.53981255,7.265243902,"West","Colorado","Mesa County"
151.4,40946,46336,15.5,2.4,44.2,42.4,45.5,31.6,15.3,51.6,10.2,54.1,29.7,42.8,92.58115889,0.646821022,0.438564253,3.192453755,"white",58.6,54.41316794,3.819022136,"West","Colorado","Montrose County"
150.9,18343,33043,26,2.42,39.7,39.2,40.4,28.9,10.7,49.7,10.7,46.5,29.7,50.6,90.6525953,0.333835882,0.942278699,3.553736808,"white",50.6,49.69144084,4.346733668,"West","Colorado","Otero County"
136,4349,47006,11.5,2.52,43.7,38.8,45.2,29.1,14.8,57.8,5.3,64.4,31.2,38,95.08121711,0.16014642,0.823610158,0.686341798,"white",61.4,58.44535359,10.87248322,"West","Colorado","Phillips County"
169,859470,60387,13,2.56,39.8,38.1,41.1,30.2,18.4,59.9,9.5,69.1,50.8,34.3,75.01240977,12.84109466,3.895391453,5.554589063,"white",44.7,45.04306379,4.240824844,"Northeast","Connecticut","New Haven County"
190.7,173533,54271,14.1,2.71,37,35.1,38.4,33.5,14.1,56.5,8.4,69.2,42.1,38.7,67.20882077,24.31198343,2.091334383,1.491956179,"white",48.8,50.31450694,6.068779501,"Northeast","Delaware","Kent County"
168.7,215622,53316,13.9,2.52,47,45.4,48.3,35.3,13.5,52.9,8,64.7,38.4,45.4,81.4512161,12.66316775,1.144706756,2.152415317,"white",51.1,50.71997832,5.256787135,"Northeast","Delaware","Sussex County"
157.6,1896425,51485,14.5,2.73,40,38.6,41.1,27.6,19.8,59.8,10,58.4,40.2,29.4,62.61746183,27.83747624,3.499006051,2.985809092,"white",43.1,43.04294896,4.663810807,"Southeast","Florida","Broward County"
174.7,14462,35256,22.3,2.64,40.5,39.7,42.3,37.5,8.2,40.1,10,49,28.3,43.5,81.25213821,13.43140609,0.64317482,1.108450222,"white",44.6,49.81187291,4.5,"Southeast","Florida","Calhoun County"
149.8,173115,43242,11.9,2.26,57.3,56.2,58,34.9,13.1,38.8,10.8,61.1,25.2,51,90.49902584,5.606123668,1.282399281,0.573038249,"white",55.8,53.69071476,4.954881717,"Southeast","Florida","Charlotte County"
209.2,17199,40788,19.8,2.54,42,36.5,45.8,38.8,7.7,44.8,10.4,50.2,33.3,40.2,91.59016008,6.10287194,0.476694915,0.258945386,"white",47.3,52.06077259,6.283213504,"Southeast","Florida","Gilchrist County"
188.4,14295,31734,31.7,2.35,40.5,36.1,45.6,37.4,7.2,33.1,15.8,49.7,29.4,47.8,60.72247308,34.09517193,0.347342827,2.181312956,"white",39.3,44.32593857,7.14920071,"Southeast","Florida","Hamilton County"
167.3,147919,47548,14.7,2.44,50.7,48.7,52.2,30.3,16.4,44.2,12.2,59.5,27.6,45.1,86.17375723,9.246426722,1.192026094,1.493007434,"white",51.7,49.97492434,5.396074172,"Southeast","Florida","Indian River County"
137.3,2693117,42754,20.4,3.08,39,37.5,40.5,28.5,17.1,56,10,46.4,32.5,32,75.75059434,18.6422952,1.58659847,2.425501375,"white",40.7,43.27147205,4.372227998,"Southeast","Florida","Miami-Dade County"
203.3,39469,37065,25.9,2.77,39.9,39.2,41.2,37,7,42,11.8,43.9,25.3,46.5,85.42860782,9.007769711,0.96802955,2.741052095,"white",45.8,48.67392304,4.691483937,"Southeast","Florida","Okeechobee County"
160.8,449144,56443,11.8,2.85,39.1,37.1,40.5,24.1,23.6,59.4,9.4,67.8,47.7,26.3,79.60950826,11.57916158,4.155062582,1.696825854,"white",46.6,50.37632996,4.236255854,"Southeast","Florida","Seminole County"
149.9,226640,66560,8.2,2.62,42.7,41.8,43.8,21.2,27.6,56.8,6.7,75.5,49.2,27.5,89.31518563,5.399653198,2.267037222,0.508800684,"white",55.4,57.17801166,3.253269113,"Southeast","Florida","St. Johns County"
198.5,22493,36374,23.4,2.44,41.2,39.2,44.5,39.2,5.4,37.8,9,60.6,36.9,41.6,75.03195944,21.50319594,0.312982147,0.806700463,"white",43.5,48.84944116,8.854568855,"Southeast","Florida","Taylor County"
174,18454,36642,24.9,2.63,38.6,37.6,39.8,42.8,8.2,49.5,7.9,49.6,33.3,39.7,76.67372536,18.89015583,0.83618396,1.992724114,"white",50.1,50.80739871,6.281957633,"Southeast","Georgia","Appling County"
213.5,8398,31740,26.5,2.98,34.9,34.8,34.9,39.2,5.2,54.9,7.3,40.5,28.6,36.7,66.8073306,17.2293224,0,13.41933928,"white",49.8,48.44877345,5.448065173,"Southeast","Georgia","Atkinson County"
138.7,18495,46018,16.9,2.8,40.4,40.3,40.5,45.5,7.2,53.8,8.5,61.1,42,33.4,93.41732112,2.683246073,1.27617801,0.687172775,"white",57.1,58.96535938,4.162724693,"Southeast","Georgia","Banks County"
180.7,18963,35078,26.7,2.71,39,37.1,41.4,38,7.2,43,13.8,49.2,27,37.8,84.13691572,11.43067459,0.741363899,1.077869499,"white",51.1,49.42512216,5.015887426,"Southeast","Georgia","Berrien County"
162.6,12243,40454,23.2,2.71,37.3,35.8,38.9,44.8,9.7,42.9,4.8,64.4,45.7,37.7,69.97489408,26.21999059,0.635493488,1.663266907,"white",41.1,49.89059081,3.671437461,"Southeast","Georgia","Bleckley County"
210.8,18455,36865,21.7,2.79,39,37.7,39.6,45.6,4.7,47.5,10.9,43.9,28.5,39.4,94.51549967,3.186646434,1.110990679,0.075872534,"white",53,55.37152408,4.942780618,"Southeast","Georgia","Brantley County"
208.9,35137,66556,11.9,2.89,35.1,34.3,35.9,27.6,20.4,57.9,9,70.8,39.7,26,78.30533016,15.23030979,2.192995686,0.696811559,"white",57.8,59.58395245,4.93857195,"Southeast","Georgia","Bryan County"
162.8,6479,30760,38.5,2.13,38.2,36.5,41.3,38.6,6,37.1,7.7,45.2,30.9,42.4,33.94976113,61.2883341,0.585606411,3.25165665,"black",33.6,35.62091503,7.258753202,"Southeast","Georgia","Calhoun County"
156.9,144052,68067,9.5,2.98,36.6,35.4,37.6,23.8,21.6,58.1,7.1,78.8,49.9,22.3,75.47942792,16.60964436,4.024110892,1.060908637,"white",57,62.82316215,5.223686116,"Southeast","Georgia","Columbia County"
169.3,138427,60809,12.5,2.73,37.6,36.9,38.4,31.6,18,60.7,7,73.5,54.6,25.4,77.26584518,17.8929064,1.70369371,0.943664928,"white",57.8,58.15650819,6.63071161,"Southeast","Georgia","Coweta County"
197.9,12388,43111,19.9,2.72,43.5,42.6,44.5,35.6,8.4,48,11,57.5,40.4,38.3,73.80173858,22.93643831,0.901188293,0.047850706,"white",48.8,51.98325253,2.190865206,"Southeast","Georgia","Crawford County"
179,23312,57491,11.8,2.74,41.5,41.2,42.1,29,19.6,53.3,8.5,67.7,47.5,30.3,94.98081418,0.555727076,0.50721122,1.658360164,"white",57.1,59.5762815,6.774789571,"Southeast","Georgia","Dawson County"
126.4,4040,34444,27.1,2.86,35.4,37.2,33.9,36.2,6.5,53.7,10.1,40.2,28.3,35.9,83.64624506,2.0256917,0,10.62252964,"white",52.1,53.31920904,1.424501425,"Southeast","Georgia","Echols County"
201.7,57106,61195,11,2.95,36.1,34.9,37.2,38.2,11.5,61.1,6,70.2,52.3,23.5,82.76404906,13.54933187,0.970162914,0.571114772,"white",55.1,60.07486979,5.321944809,"Southeast","Georgia","Effingham County"
129.9,212438,86413,6.3,3.14,38,37.3,38.4,19.3,31.1,63.7,6.2,79.6,61.5,16.8,84.90389123,2.905684992,8.280335922,1.704580199,"white",62.6,70.02327635,5.246691229,"Southeast","Georgia","Forsyth County"
136.4,29400,40010,19.7,2.58,45.1,44.2,45.9,35.5,10.9,46.7,10,51.5,27.8,41.1,92.35517734,1.196247341,0.449900603,4.600146479,"white",59.3,58.65270824,6.54966528,"Southeast","Georgia","Gilmer County"
191.7,56574,43880,17.8,2.83,37,35.5,38.6,35.7,8.1,54.4,8.3,56.1,41,33.9,90.25568538,4.525040706,1.082502818,2.52822559,"white",53.8,55.57090946,6.428197261,"Southeast","Georgia","Gordon County"
180.5,43996,40994,15.3,2.74,38.8,38.1,39.3,34,10.1,49.1,7.7,60.3,41.1,33.8,87.82364969,3.848186183,2.196337905,4.293886553,"white",53.7,57.34660926,6.010723356,"Southeast","Georgia","Habersham County"
139.4,33381,66249,9.5,2.79,43.1,42.2,44,27.4,15.7,56.9,8,73.7,47,28.8,78.50256285,16.30461313,0.89394679,0.430192824,"white",56.7,62.51512532,5.808219178,"Southeast","Georgia","Harris County"
178.8,11539,41348,19,2.65,40.1,39.7,40.5,43.2,6.7,49.6,12.1,53.3,37.4,39.7,87.07928037,9.830420935,0.034432297,0.025824223,"white",52.2,51.36070111,5.545147996,"Southeast","Georgia","Heard County"
213.2,63360,51931,13.5,2.88,38.3,37.5,38.9,34.3,13.1,56.5,7.9,67.6,47.9,27.4,88.42885054,7.219146858,1.820253989,0.704982091,"white",56.7,59.92968453,4.117165096,"Southeast","Georgia","Jackson County"
180.9,112865,38887,24.5,2.78,29.4,28.4,30.4,28.3,14.2,51.8,13,58.5,33.8,31.5,57.79175464,36.12801781,1.741119935,1.628048727,"white",40.6,42.70748576,6.143722718,"Southeast","Georgia","Lowndes County"
158.1,31408,44653,18.6,2.66,36,35.5,36.6,28.6,18,55,8.2,66.3,40.6,28.9,94.64441642,2.263833641,0.278128133,0.417192199,"white",47.5,50.8388959,3.509433962,"Southeast","Georgia","Lumpkin County"
227.2,28441,45557,19.7,2.75,40.2,39.6,40.6,39.9,8.8,50.8,8.7,59,40.3,34.9,85.08784358,8.98271465,1.222017569,3.347265514,"white",50.8,52.26091221,5.50827789,"Southeast","Georgia","Madison County"
172.3,18046,50295,15,2.76,43.2,44,42.3,34.8,13.9,53.8,6.9,66.2,41.1,33.8,73.8603352,23.17877095,0.441340782,0.56424581,"white",53.8,56.46618884,3.7027833,"Southeast","Georgia","Morgan County"
190,200579,41783,21.9,2.61,33.5,31.5,35.5,27.7,15,50.2,11,62.4,32.3,34.9,45.81820905,44.76770602,2.407569214,2.719624535,"white",39.5,39.01594283,6.992367626,"Southeast","Georgia","Muscogee County"
127,7193,25807,36.3,2.54,39.2,35,44,35.3,7.1,43.9,10.4,41.8,20.9,47.8,34.76418319,61.88653452,2.077922078,0.15037594,"black",40.7,39.83536149,10.85271318,"Southeast","Georgia","Randolph County"
214.9,14162,34012,26.2,2.61,40,37.8,41.7,42.2,9.1,48.2,9.8,52,34.1,38.7,55.93411235,41.99633957,0.042235675,0.056314233,"white",45.1,45.70888469,7.930489731,"Southeast","Georgia","Screven County"
196.2,64051,35555,27.4,2.76,38.2,36.3,40,36.5,10,47.2,12.4,54.3,37,39.8,63.07203357,32.89652905,0.919011163,1.097490332,"white",44.8,45.6838491,5.051532411,"Southeast","Georgia","Spalding County"
216.4,25229,34010,28.2,2.46,36.2,35.3,38.5,38,6.9,35.5,7.9,57.2,35.2,37.2,61.03865307,28.98980318,0.343846336,6.61607778,"white",43.4,50.55837563,8.461219411,"Southeast","Georgia","Tattnall County"
183.9,40764,36303,28.6,2.76,35.1,33.2,37.9,33.6,8.7,50.7,5.8,47.9,33.5,37.4,64.25086425,29.74722338,1.372986491,3.167675975,"white",42.3,42.25950308,6.308457711,"Southeast","Georgia","Tift County"
193.3,88399,52082,15.6,2.88,38.5,37,39.3,35.6,12.5,56.7,7.9,68.9,47.8,30,79.61972599,15.98473336,1.252885697,0.620642452,"white",57.1,60.72740756,5.68799466,"Southeast","Georgia","Walton County"
186.4,20816,36137,30.2,2.64,40,37.8,42.1,41.5,9.4,44.5,12.2,56.9,36.5,38.4,45.59057012,52.61005533,0.519605485,0.27904739,"black",41.3,43.6791148,5.967408768,"Southeast","Georgia","Washington County"
179.9,7903,30264,38.9,2.16,38.4,36.1,46.2,54.8,4,19.5,10,43.4,32.5,44.5,58.10708899,41.65409754,0,0,"white",34.6,47.61431412,5.070993915,"Southeast","Georgia","Wheeler County"
155.8,44990,47292,15,3.07,32.9,32.9,32.9,29.4,12.6,59.5,7.1,65.8,45.3,30.9,86.4558328,0.29290638,0.706939459,4.281278217,"white",58.9,62.64117567,7.30438263,"West","Idaho","Bingham County"
94.4,21592,63490,10.6,2.35,43,42.4,43.6,18,30.6,70.8,4.1,68.6,32.4,23.3,89.8024309,0.089164203,1.243605988,7.358393167,"white",59.8,51.75930076,7.863131656,"West","Idaho","Blaine County"
137.4,110089,51440,15.5,2.9,32.4,32.1,32.8,27.5,19.1,60.8,5.6,70,44.7,28.7,90.22340149,0.455523806,0.837755594,5.401343378,"white",56.8,58.56730088,7.807625299,"West","Idaho","Bonneville County"
107.2,2501,42907,14.8,2.59,40.9,40.9,40.9,36.5,11.3,46.9,6.8,61.7,35.6,35.7,92.91368262,1.997738409,0.490011308,0.753863551,"white",56.6,55.89692765,4.31372549,"West","Idaho","Butte County"
160.5,4087,42704,15.7,2.33,52,50.4,52.3,34.8,18.3,49.8,3.3,68.5,39.4,33.9,97.47283892,0,0.023618328,0.401511573,"white",62.7,61.0073571,3.808180536,"West","Idaho","Custer County"
136.4,27157,52428,11.5,3.3,31.1,31,31.2,30.8,15.3,60.9,6.1,68,41.7,29.9,93.35622574,0.194087787,0.007464915,3.250970439,"white",61.8,67.55122192,6.959459459,"West","Idaho","Jefferson County"
142.6,7735,37869,18.2,2.03,51.2,51.2,51.2,33.7,15.5,48.1,6.1,63.2,27.4,44.3,95.78947368,0.346598203,0.410783055,0.410783055,"white",57.8,49.31470035,5.332359386,"West","Idaho","Lemhi County"
125.2,38273,36065,27.1,3.6,23.2,23.8,22.3,15.8,23.3,56.7,10.2,76,44.4,21.6,95.3159616,0.693638569,1.099799557,0.967929106,"white",53.6,71.70305677,6.963315217,"West","Idaho","Madison County"
165.4,82375,44236,14.5,2.71,34.5,33.5,35.4,28.9,12,60.2,5.9,65,40,31.1,92.91160442,0.507474626,1.597420129,2.141142943,"white",55.7,55.38477444,8.551754776,"West","Idaho","Twin Falls County"
131.6,10103,49380,11.7,2.99,49.4,49.4,49.4,28.6,21.1,53.1,5.7,59.7,32.6,40.3,98.29218107,0.041152263,0.164609053,0.051440329,"white",50.9,55.92848181,1.604584527,"West","Idaho","Valley County"
172.2,33587,52138,13.1,2.4,43.4,42.4,44.4,39.4,11.3,59.1,7.6,70.1,46,36.8,94.86149787,0.595046167,0.765059358,2.233621574,"white",55.4,53.04143193,5.996296824,"Midwest","Illinois","Bureau County"
190,13428,45709,13.6,2.39,42.8,42.1,44.4,38.6,11.1,57.7,6.7,62.2,35.9,46.2,97.74701811,0.544838757,0.16197909,0,"white",56.5,54.57013575,6.40518172,"Midwest","Illinois","Clay County"
191.5,19414,45889,15.2,2.37,42.4,40.8,44.7,33.6,11.9,52.1,6.8,68.1,43.4,38.3,92.93792539,3.561741978,0.404278184,0.204697815,"white",52.9,53.84514436,3.962879358,"Midwest","Illinois","Crawford County"
201.4,10898,49567,12.2,2.51,41.6,40.7,42.7,37.2,9.8,56.7,7.4,68.1,44.1,40.1,98.11751805,0.210180024,0.849858357,0,"white",56.1,55.0812065,6.796116505,"Midwest","Illinois","Cumberland County"
180.1,34371,52578,11.8,2.54,38.9,36.7,41,36.4,14.7,64.1,5.4,73.4,47,34.4,97.78049633,0.340789934,0.544681347,0.562157754,"white",54.1,54.01350338,4.731034483,"Midwest","Illinois","Effingham County"
196,38353,43073,19.5,2.39,40.7,39.2,42.8,32.8,10.2,53.3,9.2,63.8,41.8,42,87.85836487,7.950127015,1.052413293,0.292913059,"white",50.1,49.15232048,5.121798876,"Midwest","Illinois","Jefferson County"
156.6,530847,72131,10.7,3.01,35.9,35,36.8,23.5,20.4,64.3,7.6,68.4,53.5,28.2,72.70493021,5.545204101,3.694516524,15.53194408,"white",54.3,58.70105926,5.683202717,"Midwest","Illinois","Kane County"
160,703910,78001,9.5,2.83,37.6,35.9,39.1,21.3,25.6,62.4,7.9,73.8,55.4,25.3,80.47696821,6.953355963,6.783487789,2.967144593,"white",55,58.96067254,5.156824131,"Midwest","Illinois","Lake County"
191.3,111333,51205,13.6,2.48,41.6,40.3,43.2,37.5,10.9,56.9,9.8,69.5,48,35.8,94.09570169,2.460494408,0.674193233,1.118325798,"white",50.3,49.73780571,4.843425569,"Midwest","Illinois","LaSalle County"
185.1,46045,48544,12.9,2.42,42.6,41.3,44,37.3,12.2,55.7,9.6,70.7,46.2,38,97.18000171,0.685253181,0.429083767,0.121680471,"white",54.6,53.28205669,5.090116855,"Midwest","Illinois","Macoupin County"
168.5,173166,60460,14.3,2.53,32.7,32.2,33.2,25.7,30.1,65.3,5.5,80.4,57.8,24.3,83.96028051,8.002241298,4.6997932,0.975080005,"white",47.6,49.15220518,4.528860796,"Midwest","Illinois","McLean County"
176,15989,39005,15.2,2.34,42.6,40.9,44.5,43,11.5,55.6,5.6,63.9,39.7,40.5,96.74801784,1.226461843,0.371655104,0.086719524,"white",56.2,53.12265988,5.732087227,"Midwest","Illinois","Pike County"
185.5,198712,55371,15.3,2.35,39.7,38,40.9,28.1,20.9,60.8,7.9,72.3,50.8,34.7,82.70490815,12.35830285,1.781263818,0.755215661,"white",47.7,44.21547928,4.889917894,"Midwest","Illinois","Sangamon County"
176.4,687263,75176,8.1,3.02,36.6,35.7,37.5,27,21.2,64,7.8,77.6,61.8,23.2,74.80624858,11.08706935,5.003252948,6.280455266,"white",54.7,60.70604543,5.115003933,"Midwest","Illinois","Will County"
